
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
189,Zach Duke*,33,STL,28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
190,Mike Dunn*,31,MIA,51,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
191,Adam Duvall,27,CIN,150,608,552,85,133,31,6,33,103,6,5,41,164,.241,.297,.498,.795,106,275,7,6,0,8,1,*7/935
192,Josh Edgin,29,NYM,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
193,Carl Edwards,24,CHC,37,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
194,Zach Eflin,22,PHI,11,23,23,2,6,2,0,0,0,0,0,0,8,.261,.261,.348,.609,63,8,2,0,0,0,0,1
195,Cody Ege*,25,MIA,5,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,452,1,0,0,0,0,0,/1
196,Jerad Eickhoff,25,PHI,33,62,61,4,8,3,0,0,5,0,0,1,12,.131,.145,.180,.325,-13,11,3,0,0,0,0,1
197,Brian Ellington,25,MIA,32,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
198,A.J. Ellis,35,TOT,64,196,171,11,37,8,0,2,22,2,1,19,31,.216,.301,.298,.599,65,51,5,2,3,1,2,2
199,A.J. Ellis,35,LAD,53,161,139,8,27,5,0,1,13,1,1,16,24,.194,.285,.252,.537,49,35,5,2,3,1,2,2
200,A.J. Ellis,35,PHI,11,35,32,3,10,3,0,1,9,1,0,3,7,.313,.371,.500,.871,133,16,0,0,0,0,0,2
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
201,Jake Elmore,29,MIL,59,99,78,7,17,2,0,0,4,2,3,17,17,.218,.371,.244,.615,69,19,1,2,2,0,1,7/5948
202,Robbie Erlin,25,SDP,3,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
203,Jake Esch,26,MIA,3,5,5,1,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,10,1,0,0,0,0,0,/1
204,Edwin Escobar*,24,ARI,25,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
205,Danny Espinosa#,29,WSN,157,601,516,66,108,15,0,24,72,9,2,54,174,.209,.306,.378,.684,81,195,4,20,7,4,12,*6
206,Carlos Estevez,23,COL,63,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
207,Andre Ethier*,34,LAD,16,26,24,2,5,1,0,1,2,0,0,2,6,.208,.269,.375,.644,74,9,1,0,0,0,1,/7D
208,Jeurys Familia,26,NYM,78,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
209,Taylor Featherston,26,PHI,19,28,26,2,3,1,0,0,1,2,0,2,11,.115,.179,.154,.332,-9,4,0,0,0,0,0,/4
210,Tim Federowicz,28,CHC,17,33,31,3,6,2,0,0,3,0,0,1,12,.194,.212,.258,.470,26,8,1,0,0,1,0,2
211,Neftali Feliz,28,PIT,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
212,Jose Fernandez,23,MIA,30,61,52,3,13,2,0,0,6,0,0,1,13,.250,.264,.288,.553,52,15,1,0,8,0,0,1
213,Josh Fields,30,LAD,22,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
214,Casey Fien,32,LAD,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
215,Cole Figueroa*,29,PIT,23,27,26,0,4,0,0,0,3,1,0,1,2,.154,.185,.154,.339,-8,4,0,0,0,0,0,/456
216,Brandon Finnegan*,23,CIN,33,61,53,4,6,2,0,0,2,0,0,3,18,.113,.161,.151,.312,-16,8,2,0,5,0,0,1
217,Yohan Flande*,30,COL,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,/1
218,Kendry Flores,24,MIA,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
219,Ramon Flores*,24,MIL,104,289,249,18,51,8,0,2,19,3,0,31,58,.205,.294,.261,.555,50,65,11,2,3,4,3,987/3
220,Wilmer Flores,24,NYM,103,335,307,38,82,14,0,16,49,1,1,23,48,.267,.319,.469,.788,108,144,9,2,0,3,0,534/6
221,Pedro Florimon#,29,PIT,18,25,24,4,5,1,1,0,4,0,1,1,12,.208,.240,.333,.573,51,8,0,0,0,0,0,/46
222,Tyler Flowers,30,ATL,83,325,281,27,76,18,0,8,41,0,0,29,91,.270,.357,.420,.777,109,118,3,11,0,4,1,2
223,Mike Foltynewicz,24,ATL,22,42,36,3,5,1,0,0,1,0,0,1,19,.139,.162,.167,.329,-11,6,0,0,5,0,0,1
224,Dexter Fowler#,30,CHC,125,551,456,84,126,25,7,13,48,13,4,79,124,.276,.393,.447,.840,126,204,3,11,1,4,0,*8/D
225,Maikel Franco,23,PHI,152,630,581,67,148,23,1,25,88,1,1,40,106,.255,.306,.427,.733,96,248,13,5,0,4,7,*5
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
226,Jeff Francoeur,32,TOT,125,331,307,33,78,15,1,7,34,2,2,20,90,.254,.297,.378,.675,81,116,5,0,1,3,2,79/D5
227,Jeff Francoeur,32,ATL,99,276,257,29,64,13,0,7,33,2,0,16,75,.249,.290,.381,.671,79,98,4,0,0,3,2,79/D
228,Jeff Francoeur,32,MIA,26,55,50,4,14,2,1,0,1,0,2,4,15,.280,.333,.360,.693,90,18,1,0,1,0,0,7/95
229,Adam Frazier*,24,PIT,66,160,146,21,44,8,1,2,11,4,1,12,26,.301,.356,.411,.767,104,60,0,1,0,1,0,749/58
230,Freddie Freeman*,26,ATL,158,693,589,102,178,43,6,34,91,6,1,89,171,.302,.400,.569,.968,157,335,12,10,0,5,18,*3
231,Mike Freeman*,28,ARI,8,11,9,0,0,0,0,0,0,0,0,2,5,.000,.182,.000,.182,-46,0,1,0,0,0,0,/79
232,Sam Freeman,29,MIL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
233,David Freese,33,PIT,141,492,437,63,118,23,0,13,55,0,0,45,142,.270,.352,.412,.764,103,180,15,10,0,0,2,53/4
234,Carlos Frias,26,LAD,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
235,Christian Friedrich,28,SDP,24,43,37,2,2,0,0,0,2,0,0,3,23,.054,.125,.054,.179,-49,2,1,0,3,0,0,1
236,Eric Fryer,30,TOT,60,133,116,19,31,4,1,0,13,0,3,13,25,.267,.336,.319,.655,77,37,1,0,2,2,0,2
237,Eric Fryer,30,STL,24,41,38,7,14,2,0,0,5,0,1,3,7,.368,.415,.421,.836,125,16,0,0,0,0,0,2
238,Eric Fryer,30,PIT,36,92,78,12,17,2,1,0,8,0,2,10,18,.218,.300,.269,.569,54,21,1,0,2,2,0,2
239,Freddy Galvis#,26,PHI,158,624,584,61,141,26,3,20,67,17,6,25,136,.241,.274,.399,.673,79,233,16,3,8,4,6,*6
240,John Gant,23,ATL,20,10,7,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,3,0,0,1
241,Adonis Garcia,31,ATL,134,563,532,65,145,29,0,14,65,3,2,24,93,.273,.311,.406,.717,91,216,18,6,0,0,4,*5/7D
242,Greg Garcia*,26,STL,99,257,214,33,59,11,0,3,17,1,1,38,50,.276,.393,.369,.762,107,79,3,4,0,1,4,564
243,Jaime Garcia*,29,STL,32,51,41,3,7,0,0,0,4,0,0,2,17,.171,.205,.171,.375,3,7,0,0,7,1,0,1
244,Luis Garcia,29,PHI,17,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,1
245,Yimi Garcia,25,LAD,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
246,Dustin Garneau,28,COL,24,75,68,7,16,6,0,1,6,0,0,6,22,.235,.293,.368,.661,64,25,1,0,0,1,0,2
247,Matt Garza,32,MIL,19,33,28,1,1,0,0,0,0,0,0,2,17,.036,.100,.036,.136,-61,1,1,0,3,0,0,1
248,Cory Gearrin,30,SFG,56,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,440,1,0,0,0,0,0,1/7
249,Scooter Gennett*,26,MIL,136,542,498,58,131,30,1,14,56,8,1,38,114,.263,.317,.412,.728,92,205,11,2,1,2,1,*4/D
250,Gonzalez Germen,28,COL,40,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
251,Conor Gillaspie*,28,SFG,101,205,191,24,50,8,4,6,25,1,2,12,28,.262,.307,.440,.747,97,84,3,1,0,1,3,5/3
252,Cole Gillespie,32,MIA,41,55,51,7,12,3,2,0,5,0,0,3,14,.235,.273,.373,.645,75,19,1,0,0,1,0,/7938
253,Sean Gilmartin*,26,NYM,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
254,Lucas Giolito,21,WSN,6,6,4,1,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,34,1,0,0,2,0,0,/1
255,Tyler Glasnow*,22,PIT,7,7,7,0,1,0,0,0,0,0,0,0,4,.143,.143,.143,.286,-23,1,0,0,0,0,0,/1
256,Koda Glover,23,WSN,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
257,Zack Godley,26,ARI,27,19,18,1,2,0,0,0,0,0,0,0,9,.111,.111,.111,.222,-41,2,0,0,1,0,0,1
258,Erik Goeddel,27,NYM,36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
259,Tyler Goeddel,23,PHI,92,234,213,17,41,3,3,4,16,3,0,17,52,.192,.258,.291,.549,48,62,4,2,1,1,0,79
260,David Goforth,27,MIL,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
261,Paul Goldschmidt,28,ARI,158,705,579,106,172,33,3,24,95,32,5,110,150,.297,.411,.489,.899,134,283,14,7,0,8,15,*3/D
262,Jeanmar Gomez,28,PHI,70,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
263,Adrian Gonzalez*,34,LAD,156,633,568,69,162,31,0,18,90,0,2,55,117,.285,.349,.435,.784,113,247,16,4,0,6,9,*3/D
264,Carlos Gonzalez*,30,COL,150,632,584,87,174,42,2,25,100,2,2,46,129,.298,.350,.505,.855,110,295,10,1,0,1,6,*9
265,Gio Gonzalez,30,WSN,32,59,52,1,7,2,0,0,2,0,0,0,24,.135,.148,.173,.321,-15,9,0,1,5,1,0,1
266,Severino Gonzalez,23,PHI,27,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
267,Brian Goodwin*,25,WSN,22,44,42,1,12,4,1,0,5,0,0,2,14,.286,.318,.429,.747,96,18,1,0,0,0,0,/978
268,Dee Gordon*,28,MIA,79,346,325,47,87,7,6,1,14,30,7,18,55,.268,.305,.335,.641,76,109,4,0,1,1,1,4
269,Tuffy Gosewisch,32,ARI,33,99,90,8,14,1,1,3,7,0,0,7,22,.156,.224,.289,.513,33,26,1,1,1,0,0,2
270,Philip Gosselin,27,ARI,122,240,220,26,61,12,1,2,13,3,0,15,46,.277,.324,.368,.692,81,81,0,1,2,2,0,45/37D9
271,Trevor Gott,23,WSN,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
272,Matt Grace*,27,WSN,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
273,Yasmani Grandal#,27,LAD,126,457,390,49,89,14,1,27,72,1,3,64,116,.228,.339,.477,.816,121,186,11,2,0,1,1,*2/3
274,Curtis Granderson*,35,NYM,150,633,545,88,129,24,5,30,59,4,2,74,130,.237,.335,.464,.799,111,253,10,9,0,5,7,*98/7D
275,Jon Gray,24,COL,29,55,47,2,7,2,0,0,4,0,0,2,30,.149,.184,.191,.375,-6,9,0,0,6,0,0,1
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
276,Grant Green,28,SFG,18,50,46,7,12,2,0,1,7,0,0,3,8,.261,.300,.370,.670,78,17,3,0,0,1,0,4
277,Zack Greinke,32,ARI,27,60,52,4,11,1,0,0,3,1,0,3,9,.212,.246,.231,.476,26,12,0,0,3,2,0,1
278,Randal Grichuk,24,STL,132,478,446,66,107,29,3,24,68,5,4,28,141,.240,.289,.480,.769,101,214,9,3,0,1,0,*8/79
279,Jason Grilli,39,ATL,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
280,Justin Grimm,27,CHC,68,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
281,Robert Gsellman,22,NYM,9,17,15,0,1,0,0,0,0,0,0,0,9,.067,.067,.067,.133,-64,1,0,0,2,0,0,/1
282,Junior Guerra,31,MIL,20,43,35,2,8,2,0,0,0,0,0,0,13,.229,.229,.286,.514,36,10,0,0,8,0,0,1
283,Tayron Guerrero,25,SDP,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
284,Jason Gurka*,28,COL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
285,Jedd Gyorko,27,STL,128,438,400,58,97,9,1,30,59,0,0,37,96,.243,.306,.495,.801,110,198,11,0,0,1,1,4563
286,David Hale,28,COL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
287,Cody Hall,28,MIA,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
288,Billy Hamilton#,25,CIN,119,460,411,69,107,19,3,3,17,58,8,36,93,.260,.321,.343,.664,77,141,5,1,11,1,0,*8
289,Jason Hammel,33,CHC,35,69,65,6,16,3,0,0,7,0,0,1,24,.246,.258,.292,.550,48,19,0,0,3,0,0,1
290,Brad Hand*,26,SDP,82,5,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
291,Mitch Haniger,25,ARI,34,123,109,9,25,2,1,5,17,0,0,12,27,.229,.309,.404,.713,85,44,3,1,0,1,2,8/79
292,Alen Hanson#,23,PIT,27,33,31,5,7,1,0,0,1,2,1,2,5,.226,.273,.258,.531,43,8,0,0,0,0,1,/4
293,Bryce Harper*,23,WSN,147,627,506,84,123,24,2,24,86,21,10,108,117,.243,.373,.441,.814,116,223,11,3,0,10,20,*9
294,Lucas Harrell#,31,ATL,5,8,8,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
295,Josh Harrison,28,PIT,131,522,487,57,138,25,7,4,59,19,4,18,76,.283,.311,.388,.699,85,189,10,5,4,8,0,*4/9
296,Matt Harvey,27,NYM,17,25,22,2,3,1,0,0,0,0,0,0,8,.136,.136,.182,.318,-16,4,1,0,3,0,0,1
297,Chris Hatcher#,31,LAD,37,3,3,0,1,0,0,0,1,0,0,0,0,.333,.333,.333,.667,84,1,0,0,0,0,0,1
298,Steve Hathaway*,25,ARI,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
299,Drew Hayes,28,CIN,6,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,/1
300,Jeremy Hazelbaker*,28,STL,114,224,200,35,47,7,3,12,28,5,2,18,64,.235,.295,.480,.775,103,96,1,0,4,2,2,78/9
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
301,Adeiny Hechavarria,27,MIA,155,547,508,52,120,17,6,3,38,1,0,33,73,.236,.283,.311,.594,63,158,10,1,2,3,7,*6
302,Austin Hedges,23,SDP,8,26,24,2,3,1,0,0,1,0,1,0,7,.125,.154,.167,.321,-13,4,0,1,0,1,0,/2
303,Chris Heisey,31,WSN,83,155,139,18,30,3,1,9,17,0,1,13,44,.216,.290,.446,.736,92,62,0,2,0,1,0,79/8D
304,Jeremy Hellickson,29,PHI,32,66,54,3,9,1,0,0,4,0,0,4,24,.167,.224,.185,.409,13,10,1,0,8,0,0,1
305,Jim Henderson*,33,NYM,44,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
306,Kyle Hendricks,26,CHC,32,68,58,1,8,0,0,0,2,0,0,1,29,.138,.167,.138,.305,-16,8,0,1,8,0,0,1
307,Cesar Hernandez#,26,PHI,155,622,547,67,161,14,11,6,39,17,13,66,116,.294,.371,.393,.764,107,215,6,2,5,2,4,*4/6
308,David Hernandez,31,PHI,70,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
309,Enrique Hernandez,24,LAD,109,244,216,25,41,8,0,7,18,2,0,28,64,.190,.283,.324,.607,66,70,3,0,0,0,1,784/956D
310,Gorkys Hernandez,28,SFG,26,57,54,7,14,5,0,2,4,0,1,3,11,.259,.298,.463,.761,100,25,0,0,0,0,0,8/97
311,Oscar Hernandez,22,ARI,4,11,11,1,2,0,0,1,1,0,0,0,0,.182,.182,.455,.636,59,5,1,0,0,0,0,/2
312,Roberto Hernandez,35,ATL,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
313,Odubel Herrera*,24,PHI,159,656,583,87,167,21,6,15,49,25,7,63,134,.286,.361,.420,.781,111,245,6,6,2,2,7,*8
314,Chris Herrmann*,28,ARI,56,166,148,21,42,5,4,6,28,4,0,16,44,.284,.352,.493,.845,118,73,2,0,1,1,1,2/9738
315,Frank Herrmann*,32,PHI,14,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
316,Keith Hessler*,27,TOT,17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
317,Keith Hessler*,27,ARI,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
318,Keith Hessler*,27,SDP,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
319,Chris Heston,28,SFG,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
320,Jason Heyward*,26,CHC,142,592,530,61,122,27,1,7,49,11,4,54,93,.230,.306,.325,.631,70,172,12,5,1,2,0,*98
321,Aaron Hill,34,MIL,78,292,254,34,72,11,0,8,29,4,2,30,43,.283,.359,.421,.780,107,107,5,2,0,4,0,54
322,Rich Hill*,36,LAD,6,12,12,0,0,0,0,0,0,0,0,0,8,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
323,Dalier Hinojosa,30,PHI,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
324,Jeff Hoffman,23,COL,8,9,8,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,1,0,0,/1
325,Matt Holliday,36,STL,110,426,382,48,94,20,1,20,62,0,0,35,71,.246,.322,.461,.782,107,176,9,8,0,1,1,73/D
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
326,Tyler Holt,27,CIN,106,208,179,21,42,5,3,0,13,4,3,23,48,.235,.327,.296,.623,68,53,6,2,3,1,0,897/1
327,Destin Hood,26,MIA,13,25,25,3,6,1,0,1,2,0,1,0,11,.240,.240,.400,.640,71,10,0,0,0,0,0,/79
328,J.J. Hoover,28,CIN,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
329,Ryan Howard*,36,PHI,112,362,331,35,65,10,0,25,59,0,1,27,114,.196,.257,.453,.710,87,150,7,1,0,3,2,3/D
330,J.P. Howell*,33,LAD,64,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
331,Daniel Hudson,29,ARI,70,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
332,Jared Hughes,30,PIT,67,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
333,Nick Hundley,32,COL,83,317,289,30,75,20,1,10,48,0,0,25,65,.260,.320,.439,.759,87,127,12,1,1,1,3,2
334,Cedric Hunter*,28,PHI,13,36,34,3,3,0,0,1,1,0,0,2,6,.088,.139,.176,.315,-15,6,1,0,0,0,0,7/9
335,Jason Hursh,24,ATL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
336,Drew Hutchison*,25,PIT,6,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
337,Raisel Iglesias,26,CIN,37,11,11,0,1,0,0,0,0,0,0,0,2,.091,.091,.091,.182,-51,1,0,0,0,0,0,1
338,Ender Inciarte*,25,ATL,131,578,522,85,152,24,7,3,29,16,7,45,68,.291,.351,.381,.732,98,199,8,4,5,2,5,*87
339,Hernan Iribarren*,32,CIN,24,45,45,6,14,0,3,0,2,1,0,0,11,.311,.311,.444,.756,98,20,2,0,0,0,0,/8439
340,Edwin Jackson,32,TOT,24,27,23,2,5,1,0,0,2,1,0,3,11,.217,.308,.261,.569,56,6,0,0,1,0,0,1
341,Edwin Jackson,32,MIA,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
342,Edwin Jackson,32,SDP,16,27,23,2,5,1,0,0,2,1,0,3,11,.217,.308,.261,.569,56,6,0,0,1,0,0,1
343,Travis Jankowski*,25,SDP,131,383,335,53,82,13,2,2,12,30,12,42,100,.245,.332,.313,.646,77,105,5,2,3,0,0,*89/7
344,Kenley Jansen#,28,LAD,72,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
345,John Jaso*,32,PIT,132,432,380,45,102,25,3,8,42,0,4,45,74,.268,.353,.413,.766,104,157,8,5,1,1,0,3/9
346,Jon Jay*,31,SDP,90,374,347,49,101,26,1,2,26,2,0,19,78,.291,.339,.389,.728,97,135,5,6,1,0,0,8/97
347,Jeremy Jeffress,28,MIL,47,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
348,Tyrell Jenkins,23,ATL,14,17,13,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,4,0,0,1
349,Kyle Jensen,28,ARI,17,34,31,5,6,0,1,2,7,0,0,2,13,.194,.265,.452,.716,83,14,1,1,0,0,0,/37D9
350,Chris Johnson,31,MIA,113,264,243,20,54,11,0,5,24,0,0,19,78,.222,.281,.329,.611,67,80,13,1,1,0,2,35/7
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
351,Erik Johnson,26,SDP,4,5,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,/1
352,Jim Johnson,33,ATL,65,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
353,Kelly Johnson*,34,TOT,131,333,304,25,75,14,0,10,34,4,0,25,65,.247,.306,.391,.698,86,119,6,2,0,2,2,457/36
354,Kelly Johnson*,34,ATL,49,132,121,8,26,6,0,1,10,1,0,10,25,.215,.273,.289,.562,52,35,4,0,0,1,1,4/73
355,Kelly Johnson*,34,NYM,82,201,183,17,49,8,0,9,24,3,0,15,40,.268,.328,.459,.787,108,84,2,2,0,1,1,45/736
356,Micah Johnson*,25,LAD,7,6,6,1,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,-8,1,0,0,0,0,0,/47
357,Tommy Joseph,24,PHI,107,347,315,47,81,15,0,21,47,1,1,22,75,.257,.308,.505,.813,115,159,11,4,0,6,0,3
358,Matthew Joyce*,31,PIT,140,293,231,45,56,10,1,13,42,1,1,59,67,.242,.403,.463,.866,131,107,9,3,0,0,4,97/D
359,Taylor Jungmann,26,MIL,8,8,8,1,1,0,0,0,0,0,0,0,4,.125,.125,.125,.250,-33,1,0,0,0,0,0,/1
360,Ryan Kalish*,28,CHC,7,10,7,1,2,0,0,0,2,0,0,1,0,.286,.444,.286,.730,103,2,0,1,1,0,0,/79
361,Jung Ho Kang,29,PIT,103,370,318,45,81,19,0,21,62,3,1,36,79,.255,.354,.513,.867,128,163,11,14,0,2,1,5/D
362,Munenori Kawasaki*,35,CHC,14,26,21,3,7,2,0,0,1,2,0,4,5,.333,.462,.429,.890,143,9,1,1,0,0,0,4/5
363,Scott Kazmir*,32,LAD,27,50,43,3,5,0,0,0,2,0,0,1,24,.116,.136,.116,.253,-30,5,1,0,6,0,0,1
364,Shawn Kelley,32,WSN,67,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
365,Carson Kelly,21,STL,10,14,13,1,2,1,0,0,1,0,0,0,2,.154,.214,.231,.445,20,3,0,1,0,0,0,2
366,Casey Kelly,26,ATL,10,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
367,Don Kelly*,36,MIA,13,30,27,2,4,0,2,0,3,0,0,2,5,.148,.200,.296,.496,34,8,2,0,0,1,0,3
368,Ty Kelly#,27,NYM,39,71,58,9,14,1,1,1,7,0,0,11,9,.241,.352,.345,.697,88,20,2,0,0,2,0,5/74389
369,Matt Kemp,31,TOT,156,672,623,89,167,39,0,35,108,1,0,36,156,.268,.304,.499,.803,112,311,17,1,0,12,6,*97/D
370,Matt Kemp,31,SDP,100,431,409,54,107,24,0,23,69,0,0,16,100,.262,.285,.489,.774,104,200,8,0,0,6,3,9/D
371,Matt Kemp,31,ATL,56,241,214,35,60,15,0,12,39,1,0,20,56,.280,.336,.519,.855,126,111,9,1,0,6,3,7
372,Howie Kendrick,32,LAD,146,543,487,65,124,26,2,8,40,10,2,50,96,.255,.326,.366,.691,90,178,20,3,0,3,2,7453/D
373,Clayton Kershaw*,28,LAD,23,50,46,2,8,1,0,0,3,0,0,1,12,.174,.191,.196,.387,7,9,0,0,3,0,0,1
374,Spencer Kieboom,25,WSN,1,1,0,1,0,0,0,0,0,0,0,1,0,,1.000,,,,0,0,0,0,0,0,
375,Dean Kiekhefer*,27,STL,26,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
